25-Aug-19,FPO penkkipunnerruksen ja maastanoston SM 2019,,,,,,,,,,,,,,,
Name,Age,Div,BWt (Kg),WtCls (Kg),Reshel,Deadlift 1,Deadlift 2,Deadlift 3,Deadlift 4,Best Deadlift,Coeff Score,Age  & Coeff,Pl code,Pl-Div-WtCl,Tm Pts,Team
Totte Salmi ,44,M-O,59.6,60,1.438,175,185,190,,190,273.22,273.22,1,1-M-O-60,,
Vesa Järveläinen,43,M-O,74.1,75,1.1304,200,225,240,,240,271.296,271.296,1,1-M-O-75,,
Joni Laiho,26,M-O,73.7,75,1.1366,200,215,225,,225,255.735,255.735,1,2-M-O-75,,
Henri Vauto,32,M-O,82,82.5,1.034,230,250,260,,260,268.84,268.84,1,"1-M-O-82,5",,
Tommi Läntinen,39,M-O,81.7,82.5,1.0366,240,250,-255,,250,259.15,259.15,1,"2-M-O-82,5",,
Daniel Szasko,35,M-O,80.9,82.5,1.0448,225,235,245,,245,255.976,255.976,1,"3-M-O-82,5",,
Marko Masalin,33,M-O,79.2,82.5,1.0636,220,-240,-240,,220,233.992,233.992,1,"4-M-O-82,5",,
Eetu Sieppi,24,M-O,84.5,90,1.011,290,310,-322.5,,310,313.41,313.41,1,1-M-O-90,,
Mikael Kumlander,36,M-O,88.7,90,0.9782,280,300,-307.5,,300,293.46,293.46,1,2-M-O-90,,
Santeri Asikainen,28,M-O,88.4,90,0.9798,250,265,-275,,265,259.647,259.647,1,3-M-O-90,,
Tuomas Kiander,27,M-O,87.1,90,0.9892,165,185,202.5,,202.5,200.313,200.313,1,4-M-O-90,,
Topi Innanen,24,M-O,89.1,90,0.9752,-265,-275,-275,,0,0,0,1,0,,
Anssi Juntunen,35,M-O,99.5,100,0.917,310,325,336.5,340,336.5,308.5705,308.5705,1,1-M-O-100,,
Teemu Hakala,29,M-O,99.6,100,0.9166,310,325,335,337.5,335,307.061,307.061,1,2-M-O-100,,
Joni Kivelä,29,M-O,98.6,100,0.9206,310,325,327.5,,327.5,301.4965,301.4965,1,3-M-O-100,,
Mikko Korpeinen,39,M-O,99.6,100,0.9166,320,-336,-337,,320,293.312,293.312,1,4-M-O-100,,
Sami Niittumaa,30,M-O,98.4,100,0.9214,260,265,270,,270,248.778,248.778,1,5-M-O-100,,
Aleksi Hiissa,25,M-O,99.2,100,0.9182,235,250,260,,260,238.732,238.732,1,6-M-O-100,,
Antti Penttilä,31,M-O,100,100,0.915,200,215,-225,,215,196.725,196.725,1,7-M-O-100,,
Eduard Khanjyan,33,M-O,108.8,110,0.8878,360,-370,,,360,319.608,319.608,1,1-M-O-110,,
Mikko Leinonen,30,M-O,101.4,110,0.9094,280,307.5,320,,320,291.008,291.008,1,2-M-O-110,,
Ville Suominen,37,M-O,105.8,110,0.8958,290,305,-322.5,,305,273.219,273.219,1,3-M-O-110,,
Topi Frifeldt,37,M-O,109.3,110,0.8868,270,292.5,300,,300,266.04,266.04,1,4-M-O-110,,
Sauli Kallunki,24,M-O,108.8,110,0.8878,250,272.5,280,,280,248.584,248.584,1,5-M-O-110,,
Jussi Jantunen,31,M-O,108.5,110,0.889,200,215,227.5,,227.5,202.2475,202.2475,1,6-M-O-110,,
Kirill Shitikov,,M-O,106.3,110,0.894,197.5,205,215,,215,192.21,0,1,7-M-O-110,,
Jani-Pekka Eirala,,M-O,109.6,110,0.8856,340,,,,0,0,0,1,0,,
Topias Cunningham,,M-O,120.5,125,0.863,340,362.5,-380,,362.5,312.8375,0,1,1-M-O-125,,
Samuli Ketola,27,M-O,124.2,125,0.859,-300,320,-330,,320,274.88,274.88,1,2-M-O-125,,
Jan-Erik Maantila,34,M-O,115.4,125,0.872,-280,280,300,,300,261.6,261.6,1,3-M-O-125,,
Samuli Vaittinen,30,M-O,116.9,125,0.869,280,300,-310,,300,260.7,260.7,1,4-M-O-125,,
Juha Alasaari,36,M-O,120.6,125,0.863,260,280,300,,300,258.9,258.9,1,5-M-O-125,,
Juuso Saarinen,35,M-O,113.9,125,0.875,260,272.5,280,,280,245,245,1,6-M-O-125,,
Samuli Kapanen,30,M-O,122.9,125,0.86,235,250,-260,,250,215,215,1,7-M-O-125,,
Zahir Khudayarov,36,M-O,130.7,140,0.851,350,375,-385,,375,319.125,319.125,1,1-M-O-140,,
Asko Karu,27,M-O,147.2,SHW,0.833,360,380,390,,390,324.87,324.87,1,1-M-O-SHW,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
