23-Aug-19,FPO penkkipunnerruksen ja maastanoston SM 2019,,,,,,,,,,,,,,
Name,Age,Div,BWt (Kg),WtCls (Kg),Reshel,Bench 1,Bench 2,Bench 3,Bench 4,Best Bench,Coeff Score,Age  & Coeff,Pl code,Pl-Div-WtCl,Tm Pts
Sannikka Hosio,34,F-OR,55.7,56,1.9194,55,-60,-60,,55,105.567,0,1,1-F-OR-56,3
Johanna Bies O,47,F-OR,64.4,67.5,1.6932,112.5,117.5,121,,121,204.8772,221.6771304,1,"1-F-OR-67,5",3
Johanna Rasmussen,33,F-OR,66.6,67.5,1.655,95,100,-102.5,,100,165.5,0,1,"2-F-OR-67,5",3
Tuulikki Kare O,51,F-OR,67,67.5,1.6486,87.5,95,97.5,,97.5,160.7385,184.3670595,1,"3-F-OR-67,5",3
Erica Halminen,28,F-OR,64.6,67.5,1.69,85,-90,90,,90,152.1,0,1,"4-F-OR-67,5",3
Marianne Hartio,26,F-OR,66.9,67.5,1.6502,90,-100,-100,,90,148.518,0,1,"5-F-OR-67,5",3
Angelica Anastasioy,28,F-OR,62.2,67.5,1.733,60,65,-67.5,,65,112.645,0,1,"6-F-OR-67,5",3
Iryna Piatrovich,35,F-OR,71,75,1.5932,105,117.5,120,,120,191.184,0,1,1-F-OR-75,3
Krista Pellikka,32,F-OR,73.9,75,1.5574,107.5,115,120,,120,186.888,0,1,2-F-OR-75,3
Amina Boulahna,28,F-OR,72.5,75,1.5752,90,95,-100,,95,149.644,0,1,3-F-OR-75,3
Anni Vuorio,25,F-OR,69.6,75,1.612,85,-92.5,-92.5,,85,137.02,0,1,4-F-OR-75,3
Julia Sieppi,24,F-OR,72.5,75,1.5752,55,62.5,70,,70,110.264,0,1,5-F-OR-75,3
Mari Penttilä,31,F-OR,71.8,75,1.5836,57.5,-65,-65,,57.5,91.057,0,1,6-F-OR-75,3
Anna Vuorio,24,F-OR,74.8,75,1.5466,47.5,-52.5,-52.5,,47.5,73.4635,0,1,7-F-OR-75,3
Anna Khudayarov,31,F-OR,78.8,82.5,1.5084,135,-145,-145,,135,203.634,0,1,"1-F-OR-82,5",3
Sanna Marika Halenius O,40,F-OR,83.4,90,1.4684,80,-85,85,,85,124.814,124.814,1,1-F-OR-90,3
Päivi Kaarto O,42,F-OR,95.5,SHW,1.3884,112.5,117.5,122.5,,122.5,170.079,173.48058,1,1-F-OR-SHW,3
Tuulikki Kare M3,51,F-M3R,67,67.5,1.6486,87.5,95,97.5,,97.5,160.7385,184.3670595,1,"1-F-M3R-67,5",3
Maiju Hilander,61,F-M3R,73.8,75,1.5586,65,-70,-70,,65,101.309,138.388094,1,1-F-M3R-75,3
Johanna Bies M1,47,F-M1R,64.4,67.5,1.6932,112.5,117.5,121,,121,204.8772,221.6771304,1,"1-F-M1R-67,5",3
Elina Kulmala,43,F-M1R,85,90,1.4538,100,110,120,,120,174.456,179.864136,1,1-F-M1R-90,3
Sanna Marika Halenius M1,40,F-M1R,83.4,90,1.4684,80,-85,85,,85,124.814,124.814,1,2-F-M1R-90,3
Päivi Kaarto M1,42,F-M1R,95.5,SHW,1.3884,112.5,117.5,122.5,,122.5,170.079,173.48058,1,1-F-M1R-SHW,3
Eveliina Anttila,20,F-JR,57.4,60,1.8584,45,50,52.5,,52.5,97.566,0,1,1-F-JR-60,3
Elisa Koikkalainen,19,F-T3R,56,56,1.9086,65,-70,70,,70,133.602,0,1,1-F-T3R-56,3
Maria Tuomi,19,F-T3R,53.9,56,1.992,37.5,-40,-40,,37.5,74.7,0,1,2-F-T3R-56,3
Ada Ritamäki,15,F-T1R,69.3,75,1.6156,35,40,-42.5,,40,64.624,0,1,1-F-T1R-75,3
