Place,Event,Name,BodyweightKg,WeightClassKg,Sex,Division,Equipment,Age,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg
1,B,Raimo Hiisi,122.1,125,M,Masters 50-54,Raw,50,180,192.5,200,,200,,,,,,200
1,B,Tero Ylivinkka,130.9,140,M,Masters 50-54,Raw,53,180,190,-200,,190,,,,,,190
1,B,Saku Grommi,59.3,60,M,Teen 17-19,Raw,18,80,87.5,90,,90,,,,,,90
1,B,Tomi Reijonen,71.7,75,M,Teen 13-15,Raw,14,60,-65,-65,,60,,,,,,60
1,B,Otto Doering,78.9,82.5,M,Teen 13-15,Raw,15,75,85,-92.5,,85,,,,,,85
1,B,Totte Salmi ,59.6,60,M,Masters 40-44,Raw,44,100,107.5,-110,,107.5,,,,,,107.5
1,B,Jani Vaskelainen,74.7,75,M,Masters 40-44,Raw,44,110,120,125,,125,,,,,,125
2,B,Jyrki Marttala,72.7,75,M,Masters 40-44,Raw,42,100,110,115,,115,,,,,,115
3,B,Pasi Pohjola,73.2,75,M,Masters 40-44,Raw,41,110,115,-122.5,,115,,,,,,115
1,B,Rami Leivisk ,82.5,82.5,M,Masters 40-44,Raw,41,140,150,160,,160,,,,,,160
2,B,Markus Gren,81.4,82.5,M,Masters 45-49,Raw,47,130,140,145,,145,,,,,,145
3,B,Jorma Mononen,81.1,82.5,M,Masters 45-49,Raw,45,130,135,-140,,135,,,,,,135
1,B,Klaus Renfors,89.1,90,M,Masters 45-49,Raw,46,147.5,152.5,160,,160,,,,,,160
2,B,Mikko Mntymki,89.2,90,M,Masters 45-49,Raw,47,140,147.5,150,,150,,,,,,150
1,B,Rami Haaparanta,99.5,100,M,Masters 40-44,Raw,43,180,190,200,,200,,,,,,200
2,B,Jani Vepslinen,97.3,100,M,Masters 40-44,Raw,44,162.5,175,182.5,,182.5,,,,,,182.5
3,B,Jarkko Yl-Hkkinen,96.6,100,M,Masters 40-44,Raw,40,160,170,180,,180,,,,,,180
4,B,Kim Pivke,95.8,100,M,Masters 45-49,Raw,46,130,160,170,,170,,,,,,170
5,B,Jari-Pekka Suominen,98.6,100,M,Masters 45-49,Raw,47,160,170,-182.5,,170,,,,,,170
1,B,Harri Visnen ,108.8,110,M,Masters 40-44,Raw,43,182.5,190,-200,,190,,,,,,190
1,B,Harri Pyklmki,123.6,125,M,Masters 45-49,Raw,45,180,190,200,,200,,,,,,200
1,D,Eveliina Lehto,46.6,48,F,Open,Raw,26,,,,,,110,-120,-120,,110,110
1,D,Taru Visuri,51.9,52,F,Open,Raw,34,,,,,,145,157.5,160,165,160,160
1,D,Olga Mikhailova,59.4,60,F,Open,Raw,47,,,,,,145,152.5,-160,,152.5,152.5
2,D,Emmaleena Salla,57.6,60,F,Open,Raw,32,,,,,,-110,120,127.5,,127.5,127.5
1,D,Johanna Rasmussen,66.6,67.5,F,Open,Raw,33,,,,,,165,172.5,180,-182.5,180,180
2,D,Jerna Rytknen,67.5,67.5,F,Open,Raw,35,,,,,,165,175,-182.5,,175,175
3,D,Erica Halminen,64.6,67.5,F,Open,Raw,28,,,,,,150,155,160,,160,160
4,D,Marianne Hartio,66.9,67.5,F,Open,Raw,26,,,,,,150,160,-165,,160,160
5,D,Angelica Anastasioy,62.2,67.5,F,Open,Raw,28,,,,,,100,120,130,,130,130
6,D,Anne Vhtalo,66.4,67.5,F,Open,Raw,29,,,,,,102.5,110,115,,115,115
1,D,Iryna Piatrovich,71,75,F,Open,Raw,35,,,,,,175,200,205,,205,205
2,D,Amina Boulahna,72.5,75,F,Open,Raw,28,,,,,,185,202.5,-210,,202.5,202.5
3,D,Krista Pellikka,73.9,75,F,Open,Raw,32,,,,,,170,185,195,,195,195
4,D,Anni Vuorio,69.6,75,F,Open,Raw,25,,,,,,170,185,-195,,185,185
5,D,Lauriina Malinen,71.5,75,F,Open,Raw,46,,,,,,135,155,165,,165,165
6,D,Maiju Hilander,73.8,75,F,Open,Raw,61,,,,,,157.5,-165,,,157.5,157.5
7,D,Julia Sieppi,72.5,75,F,Open,Raw,24,,,,,,120,130,140,,140,140
8,D,Anna Vuorio,74.8,75,F,Open,Raw,24,,,,,,122.5,132.5,,,132.5,132.5
9,D,Mari Penttil,71.8,75,F,Open,Raw,31,,,,,,130,-140,-140,,130,130
1,D,Anna Khudayarov,78.8,82.5,F,Open,Raw,31,,,,,,220,230,235,,235,235
1,D,Sanna Marika Halenius O,83.4,90,F,Open,Raw,40,,,,,,170,180,-185,,180,180
1,D,Pivi Kaarto,95.5,90+,F,Open,Raw,42,,,,,,190,212.5,-222.5,,212.5,212.5
2,D,Natalia Gadolin,98.8,90+,F,Open,Raw,25,,,,,,180,-190,-200,,180,180
