Place,Name,CyrillicName,BirthYear,BodyweightKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Sex,Event,Equipment,Division,WeightClassKg
1,Pavel Tabatskiy,Павел Табацкий,1950,56,100,72.5,120,292.5,M,SBD,Single-ply,Masters 1,56
1,Gennadiy Potepun,Геннадий Потепун,1939,57.75,125,70,130,325,M,SBD,Single-ply,Masters 1,60
1,Petr Kravtsov,Петр Кравцов,1946,67.5,250,150,217.5,617.5,M,SBD,Single-ply,Masters 1,67.5
2,Nikolay Ogly,Николай Оглы,1949,67.4,210,115,225,550,M,SBD,Single-ply,Masters 1,67.5
1,Anatoliy Parkhomenko,Анатолий Пархоменко,1941,67.1,150,105,170,425,M,SBD,Single-ply,Masters 2,67.5
2,Viktor Ulyanov,Виктор Ульянов,1944,67.3,140,112.5,170,422.5,M,SBD,Single-ply,Masters 2,67.5
3,Vyacheslav Laptev,Вячеслав Лаптев,1940,67.2,140,85,140,365,M,SBD,Single-ply,Masters 2,67.5
1,Vitaliy Krivtsov,Виталий Кривцов,1951,75,250,145,230,625,M,SBD,Single-ply,Masters 1,75
2,Aleksandr Nesterenko,Александр Нестеренко,1953,72.5,240,130,230,605,M,SBD,Single-ply,Masters 1,75
3,Mukhamed Didanov,Мухамед Диданов,1950,72.9,185,125,200,510,M,SBD,Single-ply,Masters 1,75
4,Sergey Lushpigan,Сергей Лушпиган,1947,74,185,120,190,495,M,SBD,Single-ply,Masters 1,75
DQ,Aleksandr Ermakov,Александр Ермаков,1954,74.5,195,,,,M,SBD,Single-ply,Masters 1,75
1,Aleksandr Loginov,Александр Логинов,1938,73.65,135,85,150,370,M,SBD,Single-ply,Masters 2,75
2,Mikhail Plishchenko,Михаил Плищенко,1940,74.4,140,90,140,370,M,SBD,Single-ply,Masters 2,75
DQ,Vladimir Manchuk,Владимир Манчук,1940,71,170,,,,M,SBD,Single-ply,Masters 2,75
DQ,Vitaliy Chernyavskiy,Виталий Чернявский,1939,74.55,150,,,,M,SBD,Single-ply,Masters 2,75
DD,Lyudmila Gayduchenko,Людмила Гайдученко,1966,90.1,220,155,230,,M,SBD,Single-ply,Masters 2,75
1,Yaroslav Chala,Ярослав Чала,1948,82.45,230,190,240,660,M,SBD,Single-ply,Masters 1,82.5
2,Vladimir Svetlakov,Владимир Светлаков,1953,81.4,220,130,220,570,M,SBD,Single-ply,Masters 1,82.5
3,Anatoliy Vecherovskiy,Анатолий Вечеровский,1951,76.45,205,115,215,535,M,SBD,Single-ply,Masters 1,82.5
4,Sergey Marynyuk,Сергей Марынюк,1954,80.4,170,115,235,520,M,SBD,Single-ply,Masters 1,82.5
1,Vladimir Burlakov,Владимир Бурлаков,1927,81.4,180,137.5,220,537.5,M,SBD,Single-ply,Masters 2,82.5
2,Gennadiy Saprygin,Геннадий Сапрыгин,1938,82.5,157.5,110,140,407.5,M,SBD,Single-ply,Masters 2,82.5
1,Vladimir Leshchenko,Владимир Лещенко,1946,84.35,245,152.5,220,617.5,M,SBD,Single-ply,Masters 1,90
2,Anatoliy Bolyukh,Анатолий Болюх,1950,89.9,210,160,230,600,M,SBD,Single-ply,Masters 1,90
3,Vasiliy Pliska,Василий Плиска,1952,90,230,125,237.5,592.5,M,SBD,Single-ply,Masters 1,90
4,Nikolay Suprun,Николай Супрун,1951,83.8,150,130,190,470,M,SBD,Single-ply,Masters 1,90
5,Vladimir Balakirev,Владимир Балакирев,1948,88.5,170,120,180,470,M,SBD,Single-ply,Masters 1,90
1,Leonid Lodkin,Леонид Лодкин,1934,90,205,137.5,217.5,560,M,SBD,Single-ply,Masters 2,90
2,Ivan Stefanishin,Иван Стефанишин,1940,86.85,220,112.5,212.5,545,M,SBD,Single-ply,Masters 2,90
3,Vyacheslav Tsyganok,Вячеслав Цыганок,1938,89.4,180,120,190,490,M,SBD,Single-ply,Masters 2,90
4,Vitaliy Svirnenko,Виталий Свирненко,1927,85.35,130,85,160,375,M,SBD,Single-ply,Masters 2,90
1,Yuriy Simonenko,Юрий Симоненко,1949,96.3,275,180.5,270,725,M,SBD,Single-ply,Masters 1,100
2,Vasiliy Sedykh,Василий Седых,1948,99.6,252.5,175,267.5,695,M,SBD,Single-ply,Masters 1,100
3,Nikolay Ermakov,Николай Ермаков,1954,98,210,140,230,580,M,SBD,Single-ply,Masters 1,100
1,Vsevolod Babenko,Всеволод Бабенко,1937,98.1,267.5,162.5,265,695,M,SBD,Single-ply,Masters 2,100
2,Gennadiy Pustarnakov,Геннадий Пустарнаков,1943,90.35,160,105,190,455,M,SBD,Single-ply,Masters 2,100
DQ,Ivan Tomas,Иван Томас,1945,91,215,132.5,,,M,SBD,Single-ply,Masters 2,100
1,Vladimir Lebedev,Владимир Лебедев,1950,103.5,290,167.5,270,727.5,M,SBD,Single-ply,Masters 1,110
2,Evgeniy Golovchenko,Евгений Головченко,1946,108.8,180,120,120,420,M,SBD,Single-ply,Masters 1,110
1,Nikolay Yudin,Николай Юдин,1938,101.9,240,160,240,640,M,SBD,Single-ply,Masters 2,110
1,Aleksey Rokochiy,Алексей Рокочий,1951,120.2,290,175,312.5,777.5,M,SBD,Single-ply,Masters 1,125
2,Boris Tabuashvili,Борис Табуашвили,1947,122.5,260,175,275,710,M,SBD,Single-ply,Masters 1,125
1,Yuriy Kalashnik,Юрий Калашник,1940,122.7,290,192.5,270,752.5,M,SBD,Single-ply,Masters 2,125
1,Viktor Shepotko,Виктор Шепотько,1939,158.4,290,185,280,755,M,SBD,Single-ply,Masters 1,125+
2,Anatoliy Eremenko,Анатолий Еременко,1939,134,255,170,230,655,M,SBD,Single-ply,Masters 1,125+
