Name,Team,BodyweightKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Event,Equipment
Helen Wolsey,W,43.6,125,65,145,335,SBD,Single-ply
P Reeves,WM,44,80,45,115,240,SBD,Single-ply
A Patel,WM,44,70,40,85,195,SBD,Single-ply
K Cameron,SE,47.9,130,72.5,150,352.5,SBD,Single-ply
N Gifford,SE,47.9,115,50,132.5,297.5,SBD,Single-ply
P Kirkup,WM,46.5,102.5,45,130,277.5,SBD,Single-ply
C Campbell,SC,47.1,80,40,107.5,227.5,SBD,Single-ply
E Dixon,YNE,47.1,70,37.5,100,207.5,SBD,Single-ply
T Hollis,SM,51.6,130,75,145,350,SBD,Single-ply
A Seesuran,GL,50.4,100,60,110,270,SBD,Single-ply
H Hampson,YNE,49.3,107.5,50,110,267.5,SBD,Single-ply
N Davies,NM,50.1,70,55,130,255,SBD,Single-ply
J Smith,SE,51,90,40,117.5,247.5,SBD,Single-ply
H Whittington,SE,55.4,132.5,72.5,150,355,SBD,Single-ply
A Hayes,SM,54.5,112.5,50,140,302.5,SBD,Single-ply
G Schmidberger,GL,55.3,92.5,65,110,267.5,SBD,Single-ply
A Sebborn,WM,55.1,-97.5,,,,SBD,Single-ply
J Blasberry,EM,59.8,152.5,70,177.5,400,SBD,Single-ply
J Kattan,YNE,59.1,130,70,160,360,SBD,Single-ply
K Taylor,WM,58.5,117.5,45,130,292.5,SBD,Single-ply
Doreen Dowsett,NM,60,105,47.5,137.5,290,SBD,Single-ply
S Long,??,58.6,105,52.5,125,282.5,SBD,Single-ply
C Gunn,YNE,58.5,90,47.5,130,267.5,SBD,Single-ply
S Duckworth,??,57.1,95,45,115,255,SBD,Single-ply
H Trafford,NW,63.1,140,77.5,155,372.5,SBD,Single-ply
J Wheeler,SM,67.4,125,70,135,330,SBD,Single-ply
E Harris,SE,73.2,165,90,157.5,412.5,SBD,Single-ply
M Coleman,SE,67.9,162.5,80,157.5,400,SBD,Single-ply
J Wills,YNE,68.3,125,70,142.5,337.5,SBD,Single-ply
C Steel,IE,72.5,125,60,152.5,337.5,SBD,Single-ply
L Ellis,EM,69.8,-130,,,,SBD,Single-ply
A Saint,WM,82,165,70,162.5,397.5,SBD,Single-ply
J Schaeffer,NM,82.9,150,97.5,165,412.5,SBD,Single-ply
S Smith-Vokroj,GL,83.3,130,70,190,390,SBD,Single-ply
Jackie Pepper,SE,96.1,180,87.5,175,442.5,SBD,Single-ply
