WeightClassKg,Sex,Division,Tested,Name,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Event,Equipment,Place
125,M,Open,Yes,Sean Schumm,317.51,192.78,297.1,807.39,SBD,Multi-ply,14
140,M,Open,Yes,David Suldivar,378.75,288.03,303.91,970.69,SBD,Multi-ply,2
140,M,Open,Yes,Andy Shields,326.59,317.51,276.69,920.79,SBD,Multi-ply,4
140,M,Open,Yes,Jason Pegg,362.87,20.41,249.48,632.76,SBD,Multi-ply,6
140+,M,Open,Yes,Thad Coleman,455.86,249.48,319.78,1025.12,SBD,Multi-ply,1
140+,M,Open,Yes,Mike Beatty,347,256.28,294.84,898.11,SBD,Multi-ply,2
125,M,Open,Yes,Jani Ihalainen,,258.55,,258.55,B,Multi-ply,1
110,M,Submasters,Yes,Ed Clark,369.68,272.16,265.35,907.18,SBD,Multi-ply,1
82.5,M,Masters,Yes,Fabian Wambsgans,297.1,122.47,254.01,673.58,SBD,Multi-ply,1
100,M,Masters,Yes,Charlie Maxwell,340.19,167.83,285.76,793.79,SBD,Multi-ply,1
110,M,Masters,Yes,Dan Verela,337.93,249.48,260.82,848.22,SBD,Multi-ply,1
125,M,Masters,Yes,Gregg Damminga,401.43,229.06,333.39,963.88,SBD,Multi-ply,1
67.5,M,Open,No,Brian Schwab,328.85,240.4,272.16,841.41,SBD,Multi-ply,1
67.5,M,Open,No,Tony Haaparanta,326.59,174.63,258.55,759.77,SBD,Multi-ply,2
67.5,M,Open,No,Roman Myruqin,278.96,170.1,226.8,675.85,SBD,Multi-ply,3
75,M,Open,No,Al Caslow,337.93,219.99,283.5,841.41,SBD,Multi-ply,1
75,M,Open,No,Jason McElroy,333.39,172.37,260.82,766.57,SBD,Multi-ply,2
82.5,M,Open,No,Brad Vargason,385.55,256.28,294.84,936.67,SBD,Multi-ply,1
82.5,M,Open,No,Angelo Bertnalli,344.73,244.94,272.16,861.83,SBD,Multi-ply,2
82.5,M,Open,No,Joe Daugherty,340.19,215.46,285.76,841.41,SBD,Multi-ply,3
82.5,M,Open,No,Brian Tincher,,,,,SBD,Multi-ply,DQ
82.5,M,Open,No,Tony Ramos,328.85,,,,SBD,Multi-ply,DQ
90,M,Open,No,Shawn Frankl,421.84,344.73,322.05,1088.62,SBD,Multi-ply,1
90,M,Open,No,Sergey Naleykin,428.64,290.3,328.85,1047.8,SBD,Multi-ply,2
90,M,Open,No,Adam Driggers,378.75,276.69,294.84,950.28,SBD,Multi-ply,3
90,M,Open,No,Phil Harrington,399.16,256.28,290.3,945.74,SBD,Multi-ply,4
90,M,Open,No,Mike Maxwell,331.12,229.06,258.55,818.73,SBD,Multi-ply,6
90,M,Open,No,Sam Byrd,476.27,,,,SBD,Multi-ply,DQ
100,M,Open,No,Michael Schwanke,412.77,285.76,342.46,1040.99,SBD,Multi-ply,1
100,M,Open,No,Konstantin Milyutin,390.09,249.48,308.44,948.01,SBD,Multi-ply,2
100,M,Open,No,Tatu Avola,,,,,SBD,Multi-ply,DQ
100,M,Open,No,Danny Blankenship,,,,,SBD,Multi-ply,DQ
100,M,Open,No,Matt Kroczaleski,,,,,SBD,Multi-ply,DQ
110,M,Open,No,Greg Panora,476.27,340.19,362.87,1179.34,SBD,Multi-ply,1
110,M,Open,No,Justin Redding,435.45,274.42,303.91,1013.78,SBD,Multi-ply,2
110,M,Open,No,Mike Taylor,390.09,290.3,308.44,988.83,SBD,Multi-ply,3
110,M,Open,No,Shawn Nutter,387.82,265.35,297.1,950.28,SBD,Multi-ply,4
110,M,Open,No,Vinnie Cook,367.41,294.84,283.5,945.74,SBD,Multi-ply,5
110,M,Open,No,Brian Carroll,,,,,SBD,Multi-ply,DQ
110,M,Open,No,Luke Edwards,,,,,SBD,Multi-ply,DQ
110,M,Open,No,Joe Norman,442.25,272.16,319.78,,SBD,Multi-ply,DQ
125,M,Open,No,Chuck Vogelpohl,498.95,285.76,378.75,1163.46,SBD,Multi-ply,1
125,M,Open,No,Scott Yard,433.18,362.87,317.51,1113.57,SBD,Multi-ply,2
125,M,Open,No,Zach Cole,453.59,306.17,340.19,1099.96,SBD,Multi-ply,3
125,M,Open,No,Jeremiah Myers,396.89,317.51,340.19,1054.6,SBD,Multi-ply,4
125,M,Open,No,Joonas Rantanen,428.64,310.71,310.71,1050.07,SBD,Multi-ply,6
125,M,Open,No,Scott Mount,430.91,294.84,294.84,1020.58,SBD,Multi-ply,7
125,M,Open,No,Allan Mehan,,,,,SBD,Multi-ply,DQ
140,M,Open,No,Matt Wenning,467.2,328.85,306.17,1102.23,SBD,Multi-ply,1
140,M,Open,No,Mike Brown,408.23,181.44,340.19,929.86,SBD,Multi-ply,3
140,M,Open,No,Mike White,142.88,281.23,272.16,696.26,SBD,Multi-ply,5
140,M,Open,No,Mark Bell,430.91,,,,SBD,Multi-ply,DQ
140,M,Open,No,Marc Bartley,,,,,SBD,Multi-ply,DQ
140,M,Open,No,Anthony Boloqnone,,,,,SBD,Multi-ply,DQ
140,M,Open,No,Matt Wilson,,,,,SBD,Multi-ply,DQ
140,M,Open,No,Paul Childress,,,,,SBD,Multi-ply,DQ
140+,M,Open,No,Donnie Thompson,,,,,SBD,Multi-ply,DQ
140+,M,Open,No,Chad Aichs,,,,,SBD,Multi-ply,DQ
140+,M,Open,No,Matt Smith,526.17,,,,SBD,Multi-ply,DQ
