Name,Team,BodyweightKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Event,Equipment,Sex
H Wolsey,WA,43.15,120,60,137.5,317.5,SBD,Single-ply,F
C Coleman,SE,43.35,82.5,37.5,102.5,222.5,SBD,Single-ply,F
J Cook,NM,43,75,35,95,205,SBD,Single-ply,F
K Cameron,SE,46.9,125,62.5,137.5,325,SBD,Single-ply,F
A Brown,SW,45.45,95,40,138,272.5,SBD,Single-ply,F
H Lawson,YNE,47.45,97.5,40,90,227.5,SBD,Single-ply,F
D Daniels,SM,45.45,80,35,110,225,SBD,Single-ply,F
E Dixon,YNE,45.85,57.5,35,92.5,185,SBD,Single-ply,F
L Manester,SE,51.6,130,72.5,145,347.5,SBD,Single-ply,F
J De Whalley,SE,51.05,110,52.5,135,297.55,SBD,Single-ply,F
J Horn,NW,51.75,105,37.5,127.5,270,SBD,Single-ply,F
G Gardner,NW,52,92.5,50,115,257.5,SBD,Single-ply,F
T Hollis,SM,48.7,85,,,,SBD,Single-ply,F
Jenny Hunter,EM,55.8,155,85,180,420,SBD,Single-ply,F
Jackie Blasberry,EM,55.7,147.5,67.5,167.5,382.5,SBD,Single-ply,F
S Hughes,SE,52.9,110,70,132.5,312.5,SBD,Single-ply,F
H Whittington,SE,55.15,107.5,60,135,302.5,SBD,Single-ply,F
N Davies,NM,55.55,90,65,140,295,SBD,Single-ply,F
D Goddard,SM,52.55,105,42.5,135,282.5,SBD,Single-ply,F
L Sandom,WM,54.9,112.5,45,120,277.5,SBD,Single-ply,F
L Linn,YNE,53.45,100,40,127.5,267.5,SBD,Single-ply,F
V Milne,SW,55.2,105,45,107.5,257.55,SBD,Single-ply,F
J Clark,NW,52.4,,,,,SBD,Single-ply,F
R Bass,EM,59,150,80,182.5,412.5,SBD,Single-ply,F
H Trafford,NW,59.6,140,87.5,170,397.5,SBD,Single-ply,F
J Kattan,YNE,58.5,137.5,65,170,372.5,SBD,Single-ply,F
S Williams,SE,59.15,130,70,165,365,SBD,Single-ply,F
H Campbell,GL,59.1,110,55,165,330,SBD,Single-ply,F
H Druiff,EM,59.9,125,52.5,140,317.5,SBD,Single-ply,F
M Montsho,NW,59.65,107.5,50,145,302.5,SBD,Single-ply,F
A Parkin,NM,67.05,155,77.5,165,397.5,SBD,Single-ply,F
J Orton,WM,64.25,145,62.5,185,392.5,SBD,Single-ply,F
D Thomas,NM,64.45,160,70,135,365,SBD,Single-ply,F
J Wheeler,SM,67.05,137.5,65,160,362.5,SBD,Single-ply,F
R Francis,GL,66.85,135,60,162.5,357.5,SBD,Single-ply,F
E Harris,SE,65.6,142.5,70,140,352.5,SBD,Single-ply,F
E Haynes,GL,62.6,115,55,152.5,322.5,SBD,Single-ply,F
J Wills,YNE,64.25,107.5,70,130,307.5,SBD,Single-ply,F
J Oakes,SE,74.55,202.5,115,215,532.5,SBD,Single-ply,F
T Dunning,NM,73.5,155,80,180,415,SBD,Single-ply,F
T Dove,EM,73.7,160,65,150,375,SBD,Single-ply,F
D Reeves,YNE,67.9,157.5,,,,SBD,Single-ply,F
H Williams,NW,75.2,172.5,82.5,167.5,422.5,SBD,Single-ply,F
S Smith,GL,75.05,147.5,75,182.5,405,SBD,Single-ply,F
K Wilson,WM,80.6,140,75,170,385,SBD,Single-ply,F
Carole Springett,YNE,76.35,140,67.5,147.5,355,SBD,Single-ply,F
M Smith,NM,79.4,115,75,160,350,SBD,Single-ply,F
Smith-Williams,WM,83.05,175,115,195,485,SBD,Single-ply,F
B Martin,WM,89,195,80,202.5,477.5,SBD,Single-ply,F
M Augee,GL,93.45,212.5,122.5,225,560,SBD,Single-ply,F
Jackie Pepper,SE,90.1,170,85,182.5,437.5,SBD,Single-ply,F
C Bonner,SM,95.6,162.5,80,170,412.5,SBD,Single-ply,F
