Name,WeightClassKg,Sex,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Event,Equipment,Division,BodyweightKg,Age
Traci Arnold-Tate,60,F,,,350,,350,,,235,235,,,340,340,925,SBD,Multi-ply,Open,,
Pascal Lercangee,67.5,F,350,380,-400,,380,-190,190,-205,190,355,390,-405,390,960,SBD,Multi-ply,Open,,
Kim Williams,75,F,,,290,,290,,,210,210,,,330,330,830,SBD,Multi-ply,Open,,
Jolynn Arvin,90+,F,145,,,,145,370,400,-405,400,565,,,565,1110,SBD,Multi-ply,Open,98.43,
Phil Hile,56,M,405,425,,,425,250,-275,,250,,,450,450,1125,SBD,Multi-ply,Open,,
Angelo Bernardelli,75,M,675,725,755,,755,420,460,470,470,575,625,640,640,1865,SBD,Multi-ply,Open,,
Joey Almodovar,75,M,-640,680,705,,705,370,400,,400,590,630,-650,630,1735,SBD,Multi-ply,Open,,
B Tracy,82.5,M,600,620,640,,640,450,470,-485,470,600,625,-640,625,1735,SBD,Multi-ply,Open,,
D Bellmore,82.5,M,,,,,625,425,450,-480,450,,575,-600,575,1650,SBD,Multi-ply,Open,,
Fabian Wambsgans,82.5,M,670,700,-720,,700,,295,-305,295,-630,630,660,630,1625,SBD,Multi-ply,Open,,
Matt Zweng,90,M,,,,,775,,,,525,,,,610,1910,SBD,Multi-ply,Open,,
J. Wardell,90,M,,,,,745,,,,500,,,,625,1870,SBD,Multi-ply,Open,,
Jeff Adams,90,M,-620,-640,660,,660,500,525,545,545,575,-610,-610,575,1780,SBD,Multi-ply,Open,,
Gary Benford,90,M,650,700,715,-735,715,400,425,-435,425,520,550,560,560,1700,SBD,Multi-ply,Open,,
D Blankenship,90,M,,620,670,,670,,,,385,,-625,625,625,1680,SBD,Multi-ply,Open,87.77,
Jim McCarty,90,M,700,,,,700,,385,-400,385,585,-615,-615,585,1670,SBD,Multi-ply,Open,85.96,37
Paul Urchick,100,M,,,,,870,,,,465,,,,730,2065,SBD,Multi-ply,Open,,
C Hammond,100,M,,,,,710,,,,463,,,,680,1875,SBD,Multi-ply,Open,,
G Reitter,100,M,,,,,710,,,,485,,,,630,1825,SBD,Multi-ply,Open,,
M Hill,100,M,,,,,700,,,,500,,,,625,1825,SBD,Multi-ply,Open,,
M Hawkins,100,M,,,,,720,,,,400,,,,650,1770,SBD,Multi-ply,Open,,
E Clark,100,M,,,,,700,,,,460,,,,580,1740,SBD,Multi-ply,Open,,
P Sulphin,100,M,,,,,675,,,,390,,,,605,1670,SBD,Multi-ply,Open,,
B Meek,110,M,,,,,755,,,,475,,,,670,1900,SBD,Multi-ply,Open,,
D Bamo,125,M,,,,,905,,,,530,,,,820,2255,SBD,Multi-ply,Open,,
A Lavere,125,M,,,,,820,,,,545,,,,705,2070,SBD,Multi-ply,Open,,
D Bailey,125,M,,,,,870,,,,445,,,,700,2015,SBD,Multi-ply,Open,,
T Brock,125,M,,,,,755,,,,535,,,,720,2010,SBD,Multi-ply,Open,,
S Wilson,125,M,,,,,675,,,,520,,,,805,2000,SBD,Multi-ply,Open,,
John Florio,125,M,,,,,860,,,,470,,,,670,2000,SBD,Multi-ply,Open,,
Kenny Patterson,125,M,,,,,750,,,,700,,,,550,2000,SBD,Multi-ply,Open,,
B Youngs,125,M,,,,,775,,,,540,,,,635,1950,SBD,Multi-ply,Open,,
G Gallo,125,M,,,,,750,,,,500,,,,635,1885,SBD,Multi-ply,Open,,
R Tilson,125,M,,,,,650,,,,370,,,,605,1625,SBD,Multi-ply,Open,,
J King,125,M,,,,,690,,,,,,,,,,,,,,
Rob Fusner,140,M,,,,,810,,,,600,,,,700,2110,,,,,
D Klein,140,M,,,,,800,,,,430,,,,750,1980,,,,,
Mike Gollehon,140,M,,,,,600,,,,365,,,,540,1505,,,,,
Jerry Obradovic,140,M,,,,,55,,,,55,,,,725,825,,,,,
T Waddle,140,M,,,,,55,,,,,,,,,,,,,,
R Barlow,140+,M,,,,,775,,,,580,,,,750,2105,,,,,
P Mendoza,140+,M,,,,,810,,,,550,,,,675,2035,,,,,
B Masters,140+,M,,,,,900,,,,,,,,,,,,,,
