Name,Division,Tested,BodyweightLBS,WeightClassLBS,Age,Squat1LBS,Squat2LBS,Squat3LBS,Squat4LBS,Best3SquatLBS,Bench1LBS,Bench2LBS,Bench3LBS,Bench4LBS,Best3BenchLBS,Deadlift1LBS,Deadlift2LBS,Deadlift3LBS,Deadlift4LBS,Best3DeadliftLBS,Total,State,Equipment,Sex,Event
AUSTIN O'BRIANT,Teenage (16-17),,132.2,132,16,255,275,285,,285,135,150,-165,,150,300,330,-345,,330,765,MS,Raw,M,SBD
LOU ALEX,Master (40-44),,203.8,198+,43,-250,-250,275,,275,205,215,225,,225,335,355,375,,375,875,MS,Wraps,F,SBD
CHASITY YOUNGMAN,Master (40-44),Yes,210.4,198+,44,185,-200,200,,200,115,125,-130,,125,225,245,260,,260,585,MS,Wraps,F,SBD
JAIME DOUGLAS,Open,,174.4,181,29,225,-285,285,,285,155,165,175,,175,285,305,315,,315,775,MS,Wraps,F,SBD
CAITLIN BOUNDS,Open,,260,275,21,325,375,-405,,375,135,150,165,,165,325,365,385,,385,925,MS,Wraps,F,SBD
DANIELLE BREWER,Open,,233.4,242,24,275,300,-320,,300,120,130,-140,,130,315,335,350,,350,780,MS,Wraps,F,SBD
CHASITY YOUNGMANÊ,Open,,210.4,220,44,185,-200,200,,200,115,125,-130,,125,225,245,260,,260,585,MS,Wraps,F,SBD
CAITLIN BOUNDSÊ,Junior (20-23),,260,198+,21,325,375,-405,,375,135,150,165,,165,325,365,385,,385,925,MS,Wraps,F,SBD
CLAIRE MYERS,Teenage (14-15),,165.2,165,15,225,280,325,,325,125,135,150,,150,225,300,325,,325,800,MS,Wraps,F,SBD
RANDY RAINES,Master (45-49),,196.8,198,46,230,-240,265,,265,-215,-225,-225,,,-365,-365,-365,,,0,MS,Wraps,M,SBD
BUBBA NORRIS,Submaster (33-39),,193.4,198,34,385,410,430,440,430,225,245,-255,,245,485,510,-520,,510,1185,MS,Wraps,M,SBD
MIKE HILL,Submaster (33-39),,251.2,275,34,420,440,475,,475,325,340,360,,360,500,-530,-530,,500,1335,MS,Wraps,M,SBD
MIKE HILLÊ,Open,,251.2,275,34,420,440,475,,475,325,340,360,,360,500,-530,-530,,500,1335,MS,Wraps,M,SBD
STANDEL BOBO,Teenage (14-15),,210.2,220,15,315,345,-365,,345,215,225,240,,240,405,455,475,,475,1060,MS,Wraps,M,SBD
CORDERO BOBO JR,Youth (10-11),,81,114,11,65,75,85,,85,55,-60,-60,,55,135,165,175,,175,315,MS,Wraps,M,SBD
ALEX J NORRIS,Youth (8-9),,58.4,114,8,-55,55,60,,60,45,-50,-50,,45,60,70,95,100,100,200,MS,Wraps,M,SBD
MITCH WILLIAMS,Master (75-59),,191.2,198,78,,,,,,175,180,185,,185,,,,,,,MS,Wraps,M,B
MISTY LOWERY,Open,,200,198+,28,,,,,,195,-215,-215,,195,,,,,,,MS,Wraps,F,B
WILBUR O'BRIANT,Master (40-44),,190,198,40,,,,,,375,390,-405,,390,,,,,,,MS,Wraps,M,B
WILBUR O'BRIANTÊ,Open,,190,198,40,,,,,,375,390,-405,,390,,,,,,,MS,Wraps,M,B
CORDERO BOBO SR,Open,,294.2,275+,30,,,,,,405,425,-430,,425,,,,,,,MS,Wraps,M,B
JIM SMITH,Open,,216.4,220,48,,,,,,410,430,445,450,445,,,,,,,MS,Wraps,M,B
JIM SMITHÊ,Master (45-49),,216.4,220,48,,,,,,410,430,445,450,445,,,,,,,MS,Wraps,M,B
CHAD McMULLIN,Master (45-49),,232.4,242,47,,,,,,400,440,450,,450,,,,,,,MS,Raw,M,B
TESHIINA TUBBY,Open,,195.4,198,31,,,,,,185,190,-200,,190,225,275,-305,,,465,MS,Wraps,F,BD
BELINDA RAINES,Master (45-49),,217.4,198+,49,,,,,,115,125,130,,130,275,305,-310,,,435,MS,Wraps,F,BD
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
