Place,Name,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,WeightClassKg,Division,Event,Sex,Equipment
11,Pepijn Zurn Verde Sive Vording,"91,10","172,50","180,00","187,50","187,50","105,00","115,00","125,00","125,00","210,00","225,00","-232,50","225,00","530,00",93,Open,SBD,M,Raw
12,BerendVeenstra,"89,10","170,00","-177,50","-180,00","170,00","110,00","-117,50","-117,50","110,00","205,00","215,00","222,50","222,50","502,50",93,Open,SBD,M,Raw
13,Jan van Rijnbach,"85,30","170,00","180,00","190,00","190,00","77,50","85,00","90,00","90,00","170,00","190,00","200,00","200,00","480,00",93,Open,SBD,M,Raw
14,Tom Schreuder,"89,70","160,00","-170,00","-170,00","160,00","95,00","100,00","-105,00","100,00","190,00","200,00","207,50","207,50","467,50",93,Open,SBD,M,Raw
9,Armand Declercq,"85,20","180,00","-190,00","190,00","190,00","-120,00","-125,00","-125,00",,"210,00","220,00","230,00","230,00","420,00",93,Open,SBD,M,Raw
1,Pjolr vd Hoek,"104,30","255,00",267.5,"275,00","275,00","190,00","195,00","-205,00","195,00","270,00","285,00","292,50","292,50","762,50",105,Open,SBD,M,Raw
2,Alexander Vermetten,"101,90","217,50","232,50","-240,00","232,50","155,00","165,00","-170,00","165,00","300,00","320,00","-330,00","320,00","717,50",105,Open,SBD,M,Raw
3,Joosl de Grool,"96,40","200,00","230,00",,"230,00","142,50","152,50","157,50","157,50","230,00","250,00","260,00","260,00","647,50",105,Open,SBD,M,Raw
4,Richard Kauwenbergh,"97,00","-200,00","200,00","215,00","215,00","145,00","-150,00","150,00","150,00","265,00","272,50","272,50","272,50","637,50",105,Open,SBD,M,Raw
5,Enrique Bakker,"99,90","205,00","215,00","225,00","225,00","105,00","117,50","-125,00","117,50","210,00","230,00","250,00","250,00","592,50",105,Open,SBD,M,Raw
6,Tim Lohrmann,"101,10","190,00","202,50","212,50","212,50","115,00","122,50","-127,50","122,50","210,00","230,00","242,50","242,50","577,50",105,Open,SBD,M,Raw
7,Jorrilde Jong,"99,80","185,00","195,00","205,00","205,00","115,00","-120,00",,"115,00","230,00","240,00","252,50","252,50","572,50",105,Open,SBD,M,Raw
8,Patrickvan der Putten,"102,70","175,00","185,00","-200,00","185,00","180,00","-190,00",,"180,00","200,00",,,"200,00","565,00",105,Open,SBD,M,Raw
1,Huub Hetterschijt,"115,10","225,00","240,00",,"240,00","170,00","180,00","190,00","190,00","235,00","-250,00",,"235,00","665,00",120,Open,SBD,M,Raw
2,Benjamin Faal,"109,30","210,00","215,00","-220,00","215,00","130,00","-140,00","-140,00","130,00","-230,00","230,00","240,00","240,00","575,00",120,Open,SBD,M,Raw
10,Christophe Rebreyend,"148,00","287,50","305,00","307,50","307,50","170,00","180,00","-185,00","180,00","310,00","327,50","-332,50","327,50","815,00",120+,Open,SBD,M,Raw
DQ,Jeroenler veld,"134,90","205,00","-215,00","-215,00","205,00","115,00","130,00","135,00","135,00","-270,00","-270,00",,,,120+,Open,SBD,M,Raw
