Name,WeightClassLBS,Division,Sex,Best3SquatLBS,Best3BenchLBS,Best3DeadliftLBS,TotalLBS,Event,Equipment,Place,BodyweightLBS
D. McClure,126,M-E-Open,M,90,62.5,125,277.5,SBD,Single-ply,1,113.5
J. O'Brien,140,M-E-Open,M,122.5,85,175,362.5,SBD,Single-ply,1,130
A. Hetherington,154,M-E-Open,M,140,102.5,202.5,445,SBD,Single-ply,1,151.5
A. Small,154,M-E-Open,M,155,97.5,190,442.5,SBD,Single-ply,2,149
M. O'Brien,154,M-E-Open,M,147.5,97.5,187.5,432.5,SBD,Single-ply,3,146
F. Brown,168,M-E-Open,M,220,140,230,590,SBD,Single-ply,1,163
E. Ramsden,168,M-E-Open,M,192.5,152.5,227.5,572.5,SBD,Single-ply,2,167.75
J. Doyle,168,M-E-Open,M,172.5,117.5,197.5,487.5,SBD,Single-ply,3,164.5
R. Conley,182,M-E-Open,M,297.5,197.5,282.5,777.5,SBD,Single-ply,1,180.75
C. Ostrznik,182,M-E-Open,M,177.5,107.5,227.5,512.5,SBD,Single-ply,2,174.75
T. McKie,196,M-E-Open,M,215,147.5,205,567.5,SBD,Single-ply,1,185
F. Duff,196,M-E-Open,M,175,112.5,212.5,500,SBD,Single-ply,2,186
G. McMonies,196,M-E-Open,M,152.5,92.5,167.5,412.5,SBD,Single-ply,3,183
R. Thomson,196,M-E-Open,M,147.5,80,167.5,395,SBD,Single-ply,4,187
R. Walczak,210,M-E-Open,M,167.5,107.5,202.5,477.5,SBD,Single-ply,1,209.75
R. MacDonald,224+,M-E-Open,M,255,162.5,287.5,705,SBD,Single-ply,1,228
G. Munn,224+,M-E-Open,M,,,,,SBD,Single-ply,DQ,261.5
