Name,WeightClassKg,Age,BodyweightKg,Equipment,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Event,Sex,Division
Milt McKinney,56,,,Wraps,-106.59,106.59,,106.59,,,154.22,149.69,195.04,,-204.12,195.04,451.32,SBD,M,Open
Roman Mielec,56,24,55.79,Wraps,,,,104.33,,145.15,,145.15,190.51,197.31,,197.31,446.79,SBD,M,Open
Phil Trujillo,56,19,55.91,Wraps,,,,108.86,,,136.08,136.08,,,201.85,201.85,446.79,SBD,M,Open
Rene Juarez,56,,,Wraps,,,113.4,113.4,,,,136.08,,181.44,-192.78,181.44,430.91,SBD,M,Open
Allen Lord,60,,,Raw,,,,111.13,181.44,195.04,204.12,204.12,237.91,-246.3,-246.3,235.87,551.12,SBD,M,Open
Vince Pena,60,19,,Wraps,,,,111.13,,167.83,-176.9,167.83,192.78,-204.12,-204.12,192.78,471.74,SBD,M,Open
Bill Thurber,67.5,,,Wraps,,158.76,-161.03,158.76,195.04,201.85,-206.38,201.85,204.12,-210.92,-210.92,204.12,564.72,SBD,M,Open
Rudolpho Lozano,67.5,27,,Wraps,,138.35,-140.61,138.35,195.04,-204.12,-204.12,195.04,215.46,222.26,-231.33,222.26,555.65,SBD,M,Open
Robert Cortes,67.5,38,,Wraps,,,,127.01,,,181.44,181.44,226.8,233.6,238.14,238.14,546.58,SBD,M,Open
Fred Collins,67.5,,,Wraps,,,,127.01,185.97,-197.31,-197.31,185.97,-208.65,-208.65,-208.65,,,SBD,M,Open
Len Ingro,75,,,Wraps,,,,149.69,,,244.94,242.67,251.74,256.28,258.55,258.55,650.91,SBD,M,Open
Willie Kindred,75,,,Wraps,,,163.29,163.29,222.26,-235.87,-235.87,222.26,244.94,258.55,-267.62,258.55,644.1,SBD,M,Open
Ron Hale,75,,,Wraps,,,,166.92,,224.53,-229.06,224.53,240.4,247.21,-254.01,247.21,638.66,SBD,M,Open
Gerald Smith,75,,,Raw,,,,140.61,199.58,,,199.58,,254.01,-274.42,254.01,594.21,SBD,M,Open
Jack Barnes,82.5,,,Wraps,,,,165.56,281.23,294.84,-299.37,292.57,265.35,-272.16,,265.35,723.48,SBD,M,Open
Tom Overholtzer,82.5,,,Wraps,,,,185.97,,,302.09,302.09,226.8,238.14,-244.94,238.14,726.2,SBD,M,Open
Jerry Jones,82.5,,,Wraps,,,,149.69,,267.62,-272.16,267.62,,,293.02,293.02,707.6,SBD,M,Open
George Crawford,82.5,,,Wraps,,,,154.22,,,,283.5,,,,251.74,689.46,SBD,M,Open
Felix Gomes,82.5,,,Wraps,,,,172.37,,283.5,-290.3,235.87,,,-317.52,272.16,680.39,SBD,M,Open
Jesse Hurst,82.5,,,Wraps,,,,170.1,-208.65,-208.65,-208.65,,,,,,,SBD,M,Open
Ronald Ray,90,,,Wraps,206.38,215.91,220.45,220.45,240.4,254.01,-260.82,254.01,254.01,276.69,285.76,285.76,757.5,SBD,M,Open
Joe Weinstein,90,,,Wraps,,,192.78,192.78,,,,256.28,272.16,-290.3,-290.3,272.16,721.21,SBD,M,Open
Bill West,90,,,Wraps,,,,174.63,,,,272.16,,,,267.62,714.41,SBD,M,Open
Bill Starr,90,,,Wraps,,,,179.17,,,,226.8,,,301.64,301.64,707.6,SBD,M,Open
Paul Wachholz,90,,,Wraps,,,,161.03,,,,244.94,,,-304.36,294.84,700.8,SBD,M,Open
Carlton Snitkin,90,,,Wraps,,,,158.76,,,,249.48,,,,272.16,680.39,SBD,M,Open
Bill Witting,90,,,Wraps,-170.1,-170.1,-170.1,,,,,,,,,,,SBD,M,Open
Harold Love,90,,,Wraps,-170.1,-170.1,-170.1,,,,,,,,,,,SBD,M,Open
John Dzurenko,90,,,Wraps,-147.42,-147.42,-147.42,,,,,,,,,,,SBD,M,Open
Jon Cole,110,25,,Wraps,204.12,210.92,-215.46,210.92,303.91,312.98,322.05,322.05,,,,326.59,859.56,SBD,M,Open
John Kanter,110,,,Wraps,226.8,-231.33,-231.33,226.8,320.24,-325.23,-325.23,317.52,,328.4,-333.39,312.98,857.29,SBD,M,Open
Gary Young,110,,,Wraps,,,,185.97,,317.52,-328.85,317.52,,,-353.8,322.05,825.54,SBD,M,Open
James Witt,110,,,Wraps,,,,154.22,,,,254.01,,,,238.14,646.37,SBD,M,Open
Bob Kemper,110,,,Wraps,,,,185.97,,,,303.91,,,,,,SBD,M,Open
Mel Hennessy,110,,,Wraps,,243.13,-258.55,240.4,,,,,,,,,,SBD,M,Open
Don Cundy,110+,,127,Wraps,,,,217.72,,,,317.52,342.46,-362.87,-362.87,342.46,877.7,SBD,M,Open
George Pickett,110+,,139.25,Wraps,,,,204.12,,,,272.16,317.52,,,340.19,816.47,SBD,M,Open
Tom Veller,110+,,155.13,Wraps,-238.14,-238.14,-238.14,,,,,,,,,,,SBD,M,Open
